140b029b0 :aAction
140b14288 :mFadeOutFrame
140b21a20 :mFadeOutKill
140b142a8 :mFadePosFrame
140b14298 :mFadeSpeed
140b142b8 :mFadeTargetFrame
140b75510 :mFadeWaitTime
140a90190 :mFailAllArr
140a90180 :mFailSingleArr
140a6d140 :mFailTime
140a96030 :mFall
140a757f8 :mFamilyType
140a6c220 :mFieldOfs
140b1cf58 :mFinalResult
140b1cf78 :mFinalResultWaitTime
140af0d30 :mFindCnt
140b21d78 :mFinish
140a8e790 :mFinishAnmNo
140a6b630 :mFinishSlowTime
140a6b620 :mFinishSlowType
140a92ec8 :mFinishWatch
140b0c8f0 :mFirstAttack
140b789a8 :mFixPass
140b15fe0 :mFixSize
140b15ff0 :mFixSizeOffset
140b7d4a0 :mFlagList
140a93038 :mFloatStepGuardDisable
140a6cbe0 :mFloatXFactor
140a6c170 :mFloorCameraAngle
140a6c200 :mFloorDownRate
140a6c1f0 :mFloorLowerRate
140a6c1d8 :mFloorLowerSpeed
140a6c1a0 :mFloorOverlookRate
140aea0d0 :mFlwJointNo
140aea078 :mFlwState
140a6ea98 :mFlyAcl
140a6eaa0 :mFlyDir
140a6ea78 :mFlyHSpd
140a6eaa8 :mFlySpdMax
140a6ea88 :mFlyVSpd
140b13730 :mFNFResourceArray
140a855b8 :mFollowType
140b3a860 :mFontAngle
140b16528 :mFrameAttr
140b106b8 :mFrameNum
140afac68 :mFRandResult
140a75ce8 :mFrankLevel
140b1c140 :mFrankLvBlinkCount
140b1c158 :mFrankOldLv
140b7a7d8 :mFriendId
140b75fc0 :mFrontDepth
140b75fa0 :mFrontPass
140afabf0 :mFSMAgent
140a6e9e0 :mFSpd
140aff3b8 :mGalactusX
140a92d94 :mGameF
140afac98 :mGameFlag
140afac88 :mGameStep
140b16948 :mGameStepOld
140a6cb34 :mGauge
140a6cb50 :mGaugeAdd
140a6cf00 :mGaugeAddRate
140a7d470 :mGaugeConsumption
140a6cb40 :mGaugeDefault
140b1bc70 :mGaugeRate
140a6d318 :mGaugeRateB
140b0c4f0 :mGaugeRateEAHB
140a6d328 :mGaugeRateS
140b05820 :mGaugeUse
140b0f40c :mGraph
140a6ec78 :mGravFreeCount
140a8f4a0 :mGridSize
140aff3d8 :mGroundRange
140af2028 :mGroupId
140a6ed18 :mGuardType
140b3fd88 :mHandicap
140b7faf0 :mHatchingShadow
140a88008 :mHCThrowNDisp
140b1bc80 :mHCUPColorAnmStep
140a71228 :mHeadCnt
140a93890 :mHeadPos
140a71218 :mHeadScl
140a6d3b8 :mHeightB
140a6c398 :mHeightBefore
140a6c3b8 :mHeightOfsInHVR
140b7a788 :mHeightPos
140a6bfc0 :mHeightRateOnDmg
140a6d3c8 :mHeightS
140a8e4c8 :mHeightScaleEnd
140b16000 :mHelpMsg
140b75e90 :mHelpMsgWaitTime
140b15f98 :mHemCol
140b15fd0 :mHemIntensity
140b15fa8 :mHemSize
140b3f578 :mHide
140b3f128 :mHideTbl
140aea0c0 :mHighTeamId
140a92ea8 :mHitAfter
140a6ebc0 :mHitAfterTimer
140a6ebd0 :mHitAfterTimer2
140a6eb48 :mHitAirCount
140a6eb58 :mHitAirCount2
140a6eb68 :mHitAirCountAerial
140a6eb80 :mHitAnmCount
140a6eb90 :mHitAnmCount2
140a6eba0 :mHitAnmSerial
140a6cb90 :mHitCountFrame
140a6cb60 :mHitLast
140b117f0 :mHitListNum
140a87fd8 :mHitMarkOrderPtr
140afd9b8 :mHitParam
140a6b5f0 :mHitSlow
140a6b5c0 :mHitSlowDelay
140a6b5d0 :mHitSlowOrder
140a6b5b0 :mHitSlowTime
140a6b460 :mHitSolverCnt
140a6a6b0 :mHitTime
140a6ebb0 :mHitTimer
140a6cb70 :mHitTotal
140a6b4b8 :mHitType
140ae7be0 :mHormingAngle
140a99550 :mHormingRate
140ae7bd0 :mHormingTurn
140b0f3f8 :mHostSlot
140b056d8 :mHVR1
140b056e0 :mHVR2
140a6cc70 :mHVRCount
140a6ee90 :mHVRDmgRate
140a6ea64 :mIAcl
140b20b48 :mIconDispType
140b40900 :mIconState
140a6ea6c :mIDir
140b742c0 :mIndexAll
140b742d0 :mIndexCapcom
140b742e0 :mIndexMarvel
140b16f10 :mIndexNaruhodo
140a6bd9c :mInert
140b7a828 :mInitEnd
140a6c388 :mInitFOV
140bca0a8 :mInitPropertyList
140b1bc98 :mInitSRT
140bca0d0 :mInnerClass
140a6eec8 :mInput
140a6cbb0 :mInputSwitch
140b78758 :mInputWait
140a858e8 :mInterAng
140a85628 :mInterDir
140a6c520 :mInterDist
140ae9910 :mInterEd
140af2130 :mInterPos
140a85638 :mInterQuat
140ae9900 :mInterSt
140a6c4f8 :mInterX
140a6c508 :mInterY
140a87ff0 :mInvalidVolumeChenge
140b20568 :mInVisibleBackScreen
140afac58 :mIRandResult
140a6c2f0 :mIsAerial
140a6c210 :mIsAimTest
140b0f718 :mIsAlreadyResult
140afac10 :mIsAnmChange
140afac20 :mIsAnmLastFrame
140b1c0d8 :mIsArcadeBoss
140a711c8 :mIsAxe
140aff410 :mIsBackMove
140a6f088 :mIsBoneDraw
140a6c348 :mIsBossBattle
140a8d020 :mIsBreak
140af46e0 :mIsBreakSearchRobot
140b08318 :mIsBusyStorage
140b815d8 :mIsCacheAchieved
140afab48 :mIsCalcCullingInfo
140aea800 :mIsCamPosCulling
140b143d0 :mIsCapDraw
140a6c0c8 :mIsCenteringWhenAerial
140a6c328 :mIsChanging1P
140a6c338 :mIsChanging2P
140a6c0f8 :mIsCharacterSetting
140b73a38 :mIsCheckDLCManner
140b734a8 :mIsCheckManner
140b402b8 :mIsCheckParentalLock
140a6e074 :mIsChr
140a711b8 :mIsCrossSword
140afac78 :mIsCulling
140a8e808 :mIsCutinChange
140afac00 :mIsDamage
140af0690 :mIsDanger
140af2020 :mIsDead
140b1e320 :mIsDeadPoolPosCng
140a6c128 :mIsDirectCameraInAerial
140a6c140 :mIsDirectCameraInFloor
140a6c110 :mIsDirectCameraInHVR
140ba79c8 :mIsDisableDisplayPowerOff
140ba79b0 :mIsDisableSystemStandby
140b743c0 :mIsDispDetail
140b73a50 :mIsDLCChack
140a6c6e8 :mIsDrawCancel
140b1c988 :mIsDrawWin
140aea0a0 :mIsDrumBreak
140aea0b0 :mIsDrumReact
140b40018 :mIsEarthAtk
140b757f0 :mIsEarthAtkMenu
140aff438 :mIsEarthAttack
140af38d8 :mIsEarthAttackMode
140aec2b0 :mIsEftEnd
140a7a2a0 :mIsEnableLocal
140ae9888 :mIsEscape
140ae98e4 :mIsEx
140ae9878 :mIsExEnd
140afacc8 :mIsExEndCmn
140b7c8d8 :mIsExistHost
140af2b58 :mIsExplosion
140a85ac0 :mIsExpr
140a6c300 :mIsFalling
140ae98dc :mIsFat
140afaaf8 :mIsFirstMove
140afed08 :mIsFixSerial
140a85598 :mIsFollow
140a855c8 :mIsFollowAxis
140aee250 :mIsFollowEnd
140a6dcf0 :mIsFollowEye
140b210f8 :mIsForceBGOff
140a6e0c0 :mIsForceCmnAnmBrendZero
140a6e0a8 :mIsForceMotBrendZero
140a6e090 :mIsForceNApplyWorld
140afabb8 :mIsForcePause
140a6e080 :mIsForceSimple
140a6dce0 :mIsForceStopEye
140a6c720 :mIsForceViewPortVisible
140aff3e8 :mIsFrontMove
140af38b0 :mIsGalactusActive
140af38f0 :mIsGalactusArcade
140af31f8 :mIsGalactusBattle
140b1c0c8 :mIsGaugeDraw
140a98c58 :mIsGroundHit
140ae7b60 :mIsHantei
140a711a8 :mIsHaouArmor
140af38c8 :mIsHeraldDead
140a6c310 :mIsHighJump
140a6bbb0 :mIsHitStop
140b141b0 :mIsHoldActionUIRes
140a6c098 :mIsHoldWhenAlone
140b0f418 :mIsHost
140ae9850 :mIsHurry
140a6c31c :mIsHVR
140ae9860 :mIsJump
140a70b98 :mIsKirigakure
140aed4c0 :mIsLaunch
140b7ad90 :mIsLeaderBoardLicenseDataLocalCopy
140b3f5b0 :mIsLoadChr
140aea0e0 :mIsLookX
140af0d20 :mIsMatSet
140a6c3d0 :mIsMayaMotion
140af2010 :mIsMotEnd
140af1ff0 :mIsMotUpdate
140afab60 :mIsMoveCulling
140b75f50 :mIsMsgFront
140b75f18 :mIsMsgList
140b080a8 :mIsNetBattleReq
140a6c0b0 :mIsOverlookWhenAerial
140a8fbf8 :mIsPadCtrlScroll
140b7a8b8 :mIsPageChange
140b7a8e0 :mIsPageChangeInput
140ae8a88 :mIsParentShakeEnd
140a6ea5c :mISpd
140a98378 :mIsPowerUp
140b739e0 :mIsPreMain
140b0f6c0 :mIsReady
140b75f28 :mIsRepMsgInitWait
140b0f5d0 :mIsReqParty
140b08118 :mIsReset
140b75f40 :mIsScrollMsg
140b7a8c8 :mIsSetNextTarget
140ae94e8 :mIsSetParent
140afac30 :mIsShakeEnd
140a82fc0 :mIsShockingPink
140a711d0 :mIsSickleBoomerang
140afcb60 :mIsStart
140af2048 :mIsSticky
140a6e0d8 :mIsStopChain
140afabc8 :mIsStopMove
140a9e060 :mIsTakeOn
140ae94dc :mIsTop
140aed140 :mIsTron
140aecdb0 :mIsTronDead
140aecdc0 :mIsTronKillTgt
140aecdd0 :mIsTronVsTron
140aeca00 :mIsUpdate
140afab70 :mIsUseOrigSphere
140a8fc10 :mIsUseSelectBtn
140b080d0 :mIsUseSPC
140a6c0e0 :mIsVariableCharDist
140a6c060 :mIsVisibleRadius
140af46f8 :mIsWarning
140a6c088 :mIsWatchLowest
140a7ff90 :mIsWire
140b1c0b8 :mIsXFactorEnd
140a8e7e0 :mIsXFactorStencilChange
140a6c078 :mIsZoomable
140a6ec10 :mJCancelOrder
140a6ea54 :mJDir
140b01460 :mJetList
140b01470 :mJetReqList
140a6b8f0 :mJmpCmdNum
140a6ed88 :mJointHold
140a6ea4c :mJSpd
140a79878 :mJumpAdvance
140a6d3d8 :mJumpCount
140a79888 :mJumpGravity
140a79868 :mJumpPower
140a79848 :mJumpTerritory
140a7c1a8 :mKeepItem[0]
140a7c1b8 :mKeepItem[1]
140a7c1c8 :mKeepItem[2]
140a6b8d0 :mKeyIdx
140b14110 :mKeyInfoHistoryID
140b14138 :mKeyInfoHistoryRep
140b14128 :mKeyInfoID
140b14390 :mKeyLog
140b0c8e0 :mKezuriFinish
140a87fb0 :mKillOrder
140a75d58 :mKobunOffset
140a75d68 :mKobunRot
140a75d48 :mKobunScal
140b1e9f8 :mLabelId
140b1ea08 :mLabelResId
140a80a08 :mLACount
140a6ddb0 :mLAngleY
140a6ddc0 :mLAngleZ
140a9f630 :mLaserCount
140a9f640 :mLaserWait
140a6e908 :mLastDComboRate
140a6ebf0 :mLastDDmg
140b0c5b8 :mLastDeckNo
140a6f098 :mLastHAnmNo
140a6ebe0 :mLastHDmg
140ae7b38 :mLastHitElapsedTime
140a7b1f8 :mLastPsionicLevel
140af1090 :mLaunchAngleRange
140aec320 :mLaunchOfs
140af9350 :mLaunchPos
140aec2c0 :mLaunchRange
140b75e68 :mLeftDrawDefault
140b75e80 :mLeftDrawSize
140a83528 :mLeftMax
140a83518 :mLeftMin
140aefcd8 :mLenRange
140a8ca68 :mLevel
140a6dd00 :mLEyeAngH
140a6dd10 :mLEyeAngV
140a6dd50 :mLEyeLimU
140a6dd60 :mLEyeLimV
140b73a18 :mLicenseFlag
140afecf8 :mLickerDeadCnt
140afed18 :mLickerDebug
140afecc8 :mLickerList
140a6cec0 :mLifeAdd
140a6cef0 :mLifeMaxRate
140a6cb08 :mLifeMaxTotal
140a6cb18 :mLifeRate
140a6cb28 :mLifeRate2
140a6d2f8 :mLifeRateB
140b0c4e0 :mLifeRateEAHB
140a6d308 :mLifeRateS
140a6ced0 :mLifeSub
140a763a8 :mLifeTarget
140a6caf8 :mLifeTotal
140a85860 :mLimDown
140a6d0cc :mLimit
140a85850 :mLimStand
140b739d0 :mListMax
140a6dd40 :mLMatId
140b136e0 :mLoadAreaArray
140b13718 :mLoadResourceArray
140b7a758 :mLoadState
140b3e978 :mLoadWait
140a99538 :mLocalFrameCount
140b22138 :mLocalizeModelID
140b22150 :mLocalizeModelType
140b15288 :mLocalizeTextureID
140b152a0 :mLocalizeTextureType
140b12d28 :mLocalOpMode
140a885c8 :mLocalStep
140a85930 :mLockAng
140a85678 :mLockAxis
140b75550 :mLoopAnime
140a6b918 :mLoopNum
140a6b928 :mLoopStartFrame
140a85940 :mLooseAng
140b0c868 :mLose
140b0c2c8 :mLoseLast
140b0c348 :mLoseNow
140b0c3b0 :mLoseOld
140b0c870 :mLoseStreak
140b0c880 :mLoseStreakMax
140b0c7a4 :mLvExp
140b0f3c8 :mLvRange
140a70b88 :mMagataNum
140a6c814 :mMain
140b77f70 :mMainCard
140b77f80 :mMainCardOld
140b20278 :mMakeFlag
140b0f440 :mMannerPoint
140b0f6d0 :mMannerRank
140b40000 :mMannerType
140b09ce8 :mMaps
140b14320 :mMask
140af8cf8 :mMatCtrl
140b3fe9c :mMate
140a8f344 :mMatNo
140b055b8 :mMaxCombo
140af4708 :mMaxComboCount
140b055c8 :mMaxComboDmg
140b1c550 :mMaxDisp
140a8f4c8 :mMaxPat
140a6c020 :mMaxRaiseHeightInHVR
140a933f0 :mMaxSpreadHierarchy
140af42d0 :mMaxTotalDmgCount
140b210d8 :mMaxWidth
140a6e798 :mMemberId
140b0f398 :mMemberMax
140b0f388 :mMemberNum
140b140d0 :mMenuCursorPos
140b14328 :mMenuFlow
140b14080 :mMenuInputResponse
140b140a8 :mMenuMoveCam
140b14098 :mMenuOkResponse
140b14300 :mMenuPageType
140b14010 :mMenuPhase
140b14070 :mMenuResponse
140b142d0 :mMenuRoomMain
140b142e0 :mMenuRoomSub
140b142f0 :mMenuRoomTest
140b73178 :mMenuSPCSelect
140b75500 :mMenuSubAttr
140b739c0 :mMenuTitleMsgId
140b74bf8 :mMenuType
140aff448 :mMeteoList
140a92fe8 :mMinDamageXFactor
140b16778 :mMinParam
140a6c008 :mMinRaiseHeightInHVR
140a90084 :mMisId
140b74348 :mMissionNumAll
140b74358 :mMissionNumCapcom
140b74370 :mMissionNumMarvel
140b73988 :mModeFrame
140b3e768 :mModelArray
140b1dc58 :mModeType
140afabe8 :mMotCnt
140ae9150 :mMotFrame
140af8ce8 :mMotFrameMax
140afaad0 :mMotFrameOld
140a78470 :mMotionRate
140a78480 :mMotionRateMax
140a6e7f8 :mMotMode
140afaac0 :mMotNoOld
140afcb30 :mMotState
140b0f380 :mMotto
140afabd8 :mMotUpdate
140a79898 :mMoveDelay
140ae7ba8 :mMoveDistance
140a938a0 :mMoveDistanceTotal
140b1bca8 :mMoveFlag
140ae9840 :mMoveState
140a804b8 :mMSCount
140a804c8 :mMSCountMax
140a6ef70 :mMsgChild
140a6d8f4 :mMsgF
140b15f6c :mMsgId
140b210c0 :mMsgID
140b75f60 :mMsgList
140b75f70 :mMsgListDraw
140a6ef50 :mMsgMember
140a6ef60 :mMsgParent
140b15f78 :mMsgRepId
140b15f88 :mMsgRepResId
140b15f60 :mMsgResId
140b210c8 :mMsgResID
140b75ee8 :mMsgResLeft
140b75ef8 :mMsgResRight
140a6ef80 :mMsgTarget
140b09cb8 :mMType
140b7f4a8 :mMulModeProp
140b73a60 :mMultiPlay
140a6b450 :mMultiThread
140b7d458 :mMuteCursorPos
140b7d468 :mMuteOffset
140b7d478 :mMuteWindowDefSize
140b0f6a0 :mMyNetTeam
140b1d538 :mMyTeam
140a6ec30 :mNAdvGTimer
140a6ec40 :mNAssistTimer
140a6eac8 :mNDmgTimer
140ae98f0 :mNearPntNo
140b08090 :mNetBattleReqType
140b080b8 :mNetBattleRetType
140b1d540 :mNetResultInterval
140a87fc0 :mNetWorkBattleEftVolume
140b0c818 :mNetworkFrame
140b0c808 :mNetworkSec
140b0c830 :mNetworkWatch
140b739f8 :mNetxUnit
140b7a898 :mNewClrFlag
140b75530 :mNewCursorPos
140b7c8f8 :mNewJoin
140a6b890 :mNextAnmNo
140b1c968 :mNextBattle
140b0c450 :mNextDailyCardId
140b73998 :mNextFrame
140b13e40 :mNextHandleNo
140a6e838 :mNextMotBlend
140b1e5a8 :mNextRno1
140a90120 :mNextStep
140b7c8e8 :mNextTarget
140a6db88 :mNo2F
140a6d4c8 :mNo2FEq
140a6d4b8 :mNo2FNTst
140a6d4a8 :mNo2FTst
140a6ec20 :mNoActTimer
140b7adb8 :mNoDataCount
140a6cabc :mNode
140ae7bf0 :mNoHormingTime
140a92eb8 :mNoInputRestart
140b743b0 :mNoInputTime
140af42c0 :mNoReActTime
140af1fa8 :mNormalDead
140a6db80 :mNotF
140a6d4a0 :mNotFEq
140a6d490 :mNotFNTst
140a6d480 :mNotFTst
140a87ca8 :mNotReactF
140a6b870 :mNowAnmNo
140a743e8 :mNowElmNum
140a8f4c0 :mNowPat
140aff2a8 :mNowState
140b80a80 :mNowTime
140a6ead8 :mNTDownTimer
140a7fa50 :mNumAttachedEyeBalls
140a7d460 :mNumShot
140a739a8 :mNumStockedMagic
140a73460 :mNumTeleport
140bca110 :mObjectArray
140b151b8 :mObjectName
140a6b26c :mOfs0
140a6b274 :mOfs1
140af10a8 :mOfsAngle
140aeec90 :mOfsScale
140a858e0 :mOldAng
140a6b880 :mOldAnmNo
140b3f568 :mOldChrSelPhase
140b75520 :mOldCursorPos
140b7a888 :mOldHelpBtn
140b7a878 :mOldHelpMsg
140b20afc :mOldID
140b0f598 :mOldRank
140b7ad50 :mOldRankingId
140b7c328 :mOldSelect
140b40330 :mOldStgId
140a858c8 :mOldTgtAng
140ae7c60 :mOldWorldMatrix
140b074d0 :mOnePlay
140b40308 :mOptionParam
140b40318 :mOptionParamDefault
140afaba8 :mOrigSphere
140aea818 :mOrigSphereOfs
140a6ea10 :mOtherYAcl
140a6ea00 :mOtherYSpd
140b3a850 :mOutLine
140b7f6a8 :mOutLineOfs
140a6c1b8 :mOverlookHeight
140a6c1c8 :mOverlookInert
140a6c368 :mOverlookPos
140a6d138 :mPadBuf
140b408f8 :mPadId
140b095e0 :mPadId[0]
140b095f0 :mPadId[1]
140b09600 :mPadId[2]
140b09610 :mPadId[3]
140b2055c :mPadNo
140a96028 :mPadRev
140b1f274 :mPage
140b7ad80 :mPageChange
140b40350 :mPageChangeCount
140b402d0 :mPageChangeLeft
140b7adc8 :mPageMoveType
140b16f00 :mPageNaruhodo
140b761c8 :mPageSdl
140b7c858 :mPanelInit
140b80a98 :mParabolic
140b21068 :mParamData
140b16768 :mParamMax
140af7c50 :mParentAnmNo
140a6ef30 :mParentChrInfo
140b06b20 :mParentId
140b066a8 :mParentId[ 0 ]
140b06710 :mParentId[ 1 ]
140b78308 :mParentIdx[0]
140b78318 :mParentIdx[1]
140b78328 :mParentIdx[2]
140b78338 :mParentIdx[3]
140b78348 :mParentIdxOfs
140af8cd0 :mParentIsAnmLastFrame
140bba9a8 :mParentJointNo
140ae8aa0 :mParentMotFrame
140a6b1f8 :mParentNo
140a6b250 :mParentNo0
140a6b260 :mParentNo1
140a79828 :mParentOffset
140b1bd40 :mParentOrigNo
140b1c170 :mParentOrigPos
140afb5e8 :mPatAnmAllocNum
140a8f4b0 :mPatSpeed
140b13fe0 :mPauseChange
140a8e450 :mPauseFlag
140b14000 :mPauseMenuPause
140b13fd0 :mPauseMenuReq
140b13ff0 :mPauseMenuState
140a6b650 :mPauseMode
140b0c430 :mPenalty
140a79dc0 :mPendulumLength
140a85918 :mPerceptionAngle
140b0c890 :mPerfect
140b17ed0 :mPhaseFrame
140b75828 :mPhaseOld
140b3f0f8 :mPhaseStageSel
140a9a708 :mPillarNum
140b3a8c4 :mPivot
140a8e780 :mPlayAnmNo
140a6cab0 :mPlayData
140b08160 :mPlayDataRank
140b7d490 :mPlayerIdList
140b7c830 :mPlayerNum
140b12e40 :mPlayId
140b12e30 :mPlayMode
140b1fe50 :mPlayPoint
140a6db38 :mPlrId
140b0c300 :mPointLast
140b0c380 :mPointNow
140afec98 :mPointObjList
140b0c3e8 :mPointOld
140b22778 :mPopupAttr
140b1cb98 :mPopupHandle
140b14030 :mPopupNetworkBattleWaitHandle
140b73978 :mPopupPhase
140b22768 :mPopupType
140b20d30 :mPos[EFFECT_POS_D]
140b20d00 :mPos[EFFECT_POS_FREE]
140b20d18 :mPos[EFFECT_POS_U]
140a6bd80 :mPosHeight
140a6b9d8 :mPosJoint
140aeeca0 :mPosLegth
140b1bd60 :mPosOrig
140aeecb0 :mPosStatus
140afb670 :mPowerInit
140b71da4 :mPreID
140b71dac :mPreLv
140af8950 :mPrevNum
140aff2b8 :mPrevState
140a6db78 :mPrgF
140a6d478 :mPrgFEq
140afaaa0 :mPrgFlag
140a6d468 :mPrgFNTst
140a6d458 :mPrgFTst
140a6ce74 :mPrim
140b151e0 :mPrimitiveAttr
140bb6c88 :mPrimitiveInfoNum
140b0f3b8 :mPrivertMax
140b0f3a8 :mPrivertNum
140a8f5c0 :mProcId
140a6dbb0 :mProF
140a6d568 :mProFEq
140a6d558 :mProFNTst
140a6d548 :mProFTst
140b05640 :mProvoc
140a7b1e8 :mPsionicLevel
140b3a898 :mPvtTypeX
140b3a8a8 :mPvtTypeY
140b3a8b8 :mPvtTypeZ
140a85950 :mQuitAng
140a85960 :mQuitLength
140b0c910 :mRadarAtk
140b0c920 :mRadarAtk2
140b0c900 :mRadarBalance
140b0c930 :mRadarDef
140b0c940 :mRadarDef2
140a6bf58 :mRadius2
140a6bfa0 :mRaiseHeight
140a6bff0 :mRaiseOffsetInHVR
140a6bf90 :mRaiseRateFar
140b3e880 :mRandAll
140a763c8 :mRandomQuota
140a763d8 :mRandomQuotaAnime
140a6c510 :mRangeDist
140a6c4f0 :mRangeX
140a6c500 :mRangeY
140a6ddd0 :mRAngleY
140a6dde0 :mRAngleZ
140b0c7d0 :mRankDraw
140b0f430 :mRankExp
140b7ad60 :mRankingBase
140b0c7c0 :mRankLose
140b7c358 :mRankMatchFlag
140b0c7b0 :mRankWin
140b0c7e0 :mRankWinStreak
140b0c7f0 :mRankWinStreakMax
140b20b0c :mRare
140aff390 :mRateRange
140aff380 :mRateSdl
140b7a858 :mRBHeightSize
140b7a868 :mRBOldLineSize
140b1fe20 :mReachNum
140b1fe30 :mReachPastNum
140a87be0 :mReactId
140a87bd0 :mReactIdNext
140aff3c8 :mReActRange
140b3e960 :mReadChrCallArchive
140b0f730 :mReadyWaitTime
140a6fcf8 :mRebuildArcOrder
140b09cb0 :mRect
140b0f424 :mRecv
140ae7cd0 :mReflectCnt
140bb93c8 :mRepeatFlag
140b761e0 :mRepeatOldCount
140b761f0 :mRepeatOldPadBuff
140afb470 :mReqAnmNo
140aeca10 :mReqAnmUpdate
140b22378 :mReqCap
140b3f5d0 :mReqChrBody
140b3f5c0 :mReqChrType
140b3f5e0 :mReqChrVoice
140aec2f0 :mReqEftID
140b75ec8 :mReqLeft
140a6c3e0 :mReqMayaMotion
140b75ed8 :mReqRight
140b12b70 :mRequest
140a8e460 :mRequestAnmNo
140ae7ce0 :mRequestAnmSerial
140a92f60 :mRequestExAtkSpace
140a8e470 :mRequestMotNo
140b7d790 :mResatartEnd
140b0c4d0 :mReserve
140a79da0 :mReservedAnki
140a78460 :mReservedFSpd
140b3e8b0 :mReserveId
140b3f138 :mReserveSel
140b3f598 :mReserveUnitCansel
140b3f580 :mReserveUnitInit
140b3e8a0 :mReserveWait
140b7a810 :mRestart
140a92ee8 :mRestartMode
140ae9868 :mRestCnt
140b1dc68 :mRestenWindow
140b21078 :mResultData
140b0c3f8 :mResultId
140b0f450 :mResultType
140b1e178 :mResultTypePlayer
140b082f0 :mResurveSave
140a6b900 :mRetFlg
140b7a8f8 :mRetReqPresence
140b1cbb8 :mRetScoreAttr
140b739f0 :mReturn
140b71db8 :mReturnID
140b7a838 :mReturnMyLic
140b7a848 :mReturnMyLicOfs
140b14020 :mReturnPhase
140a98368 :mReturnTime
140b05658 :mReversal
140b1e5b8 :mRevPlay
140a6dd20 :mREyeAngH
140a6dd30 :mREyeAngV
140a6dd70 :mREyeLimU
140a6dd80 :mREyeLimV
140a87c64 :mRFlag
140b75e50 :mRightDefaultSize
140a83548 :mRightMax
140a83538 :mRightMin
140b802f0 :mRimLightColorFactor
140b802d8 :mRimLightMaxHeight
140b802c0 :mRimLightMinHeight
140b80308 :mRimLightPower
140afc1b8 :mRimLigthType
140a6cee0 :mRLifeAdd
140a6cf10 :mRLifeAddRate
140a6d338 :mRLifeRateB
140a6dd48 :mRMatId
140b16ee8 :mRno1
140b7a800 :mRno2Old
140a80f78 :mRollingSkrullFrame
140a80f60 :mRollingSkrullInert
140a80f48 :mRollingSkrullSpeed
140b0f5f8 :mRoomDummyFrame
140b0f5c8 :mRoomID
140b0f5a8 :mRoomPlayerMax
140b0f5b8 :mRoomPrivateMax
140b0f4d0 :mRoomProp.mAreaLimit
140b0f4e8 :mRoomProp.mCapa
140b0f4f8 :mRoomProp.mFriend
140b0f510 :mRoomProp.mLang
140b0f520 :mRoomProp.mLvRange
140b0f538 :mRoomProp.mMotto
140b0f550 :mRoomProp.mType
140b0f560 :mRoomProp.mVoiceChat
140b0f6e0 :mRoomRecord.mWin
140b0f6f8 :mRoomRecord.mWinConsecutively
140b7a768 :mRoomState
140afb588 :mRotate
140a6c550 :mRotation
140af1420 :mRotOfs
140a92e5c :mRound
140b07438 :mRoundMax
140a92da0 :mRoundSet
140a92db0 :mRoundTime
140a87c6c :mRRet
140a92e68 :mRTimeLimit
140a92e78 :mRTimePass
140a92e88 :mRTimePass2
140a844e8 :mSaberAlpha
140a844f8 :mSaberAlphaAdd
140a6d73c :mSame
140a6e978 :mSameTdownNum
140b7f118 :mSamplingNum
140a6ecf0 :mSAStopTimer
140a6ed00 :mSAStopTimerInit
140b08300 :mSaveOk
140b08308 :mSavePenalty
140b1bd70 :mScaleOrig
140b782e8 :mScaleRate
140afab18 :mSchedulerDraw
140a8e7d0 :mSchedulerMode
140afab08 :mSchedulerMove
140afc188 :mSchedulerSpeed
140aefcd0 :mSclMax
140a8e828 :mSclOfs
140b057b4 :mScore
140b057d0 :mScoreAtk
140b057e0 :mScoreAtk2
140b057c0 :mScoreBalance
140b057f0 :mScoreDef
140b05800 :mScoreDef2
140b05a40 :mScoreOld
140af4718 :mScrollMode
140b402f8 :mSdlEndTime
140aff2f8 :mSdlSetWait
140b402e8 :mSdlStartTime
140b1cba8 :mSdlUnitNum
140afe300 :mSdlWait1
140afe310 :mSdlWait2
140b140e0 :mSearchCancelResponse
140b7d7e0 :mSearchEndWait
140b7fbf8 :mSearchMoveLine
140aff980 :mSearchRobotDestroyFlag
140aff998 :mSearchRobotDestroyOnceFlag
140b7c368 :mSearchSize
140b08180 :mSecret
140b73048 :mSelect
140b22788 :mSelectButton
140b782f8 :mSelectCard
140b05248 :mSelectId
140b736e8 :mSelectItemOld
140b736d8 :mSelectOld
140b1d528 :mSelectPos
140b7ad28 :mSelectPosNew
140a6d7c8 :mSelfJoint
140a85890 :mSelfState
140b3f118 :mSelStgId
140b7c840 :mSendBattleResultData
140af2000 :mSerialNo
140a8f378 :mSetColor
140b75ea8 :mSetLeft
140b75eb8 :mSetRight
140b223a0 :mSetTexWaitTime
140a6e788 :mSettingId
140a92dc0 :mSetupPos
140a8f3a8 :mSetUV0
140a8f3b0 :mSetUV1
140a8f3b8 :mSetUV2
140b1c978 :mShaderGather
140b3e8d0 :mShaderGatherChrType
140b3e8e8 :mShaderGatherCount
140b3a600 :mShadowCol
140b15200 :mShadowColor
140b15fb8 :mShadowIntensity
140b3a618 :mShadowOfs
140b15250 :mShadowPos
140afaaf0 :mShake
140afcad8 :mShakeParam
140b028c8 :mShareBaseJntOnly
140a7ea58 :mShinkuAccel
140a7ea78 :mShinkuDecelerate
140a7ea90 :mShinkuDecelerateRate
